Player,Club,Age,Position,Nation,Value,Contract Years Left,League
Carles Pérez,AS Roma,23,attack,Spain,7200000,3,Serie A
Simone Verdi,Torino FC,29,midfield,Italy,7200000,2,Serie A
Gaël Kakuta,RC Lens,30,midfield,DR Congo,7200000,2,Ligue 1
Jonathan Clauss,RC Lens,28,Defender,France,7200000,2,Ligue 1
Giulio Maggiore,Spezia Calcio,23,midfield,Italy,6750000,2,Serie A
David Zima,Torino FC,20,Defender,Czech Republic,6750000,4,Serie A
Hugo Guillamón,Valencia CF,21,Defender,Spain,6750000,2,La Liga
Germán Pezzella,Real Betis Balompié,30,Defender,Argentina,6750000,4,La Liga
Robin Knoche,1.FC Union Berlin,29,Defender,Germany,6750000,fail,Bundesliga
Antonio Sanabria,Torino FC,25,attack,Paraguay,6750000,4,Serie A
José Sá,Wolverhampton Wanderers,28,Goalkeeper,Portugal,6750000,5,Premier League
Alexis Sánchez,Inter Milan,32,attack,Chile,6750000,2,Serie A
Sebastian Walukiewicz,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",21,Defender,Poland,6750000,3,UNKNOWN
Brian Brobbey,RB Leipzig,19,attack,Netherlands,6750000,4,Bundesliga
David García,CA Osasuna,27,Defender,Spain,6750000,5,La Liga
Marcelo,Real Madrid,33,Defender,Brazil,6750000,1,La Liga
Marcelo,Real Madrid,33,Defender,Brazil,6750000,2,La Liga
Marcelo,Olympique Lyon,34,Defender,Brazil,2700000,1,Ligue 1
Marcelo,Olympique Lyon,34,Defender,Brazil,2700000,2,Ligue 1
Maximilian Eggestein,SC Freiburg,24,midfield,Germany,6750000,4,Bundesliga
Keven Schlotterbeck,SC Freiburg,24,Defender,Germany,6750000,1,Bundesliga
Nico Schlotterbeck,SC Freiburg,21,Defender,Germany,6750000,2,Bundesliga
Okay Yokuslu,Celta de Vigo,27,midfield,Turkey,6750000,2,La Liga
Ander Guevara,Real Sociedad,24,midfield,Spain,6750000,3,La Liga
Mattia De Sciglio,Juventus FC,28,Defender,Italy,6750000,1,Serie A
Cristian Tello,Real Betis Balompié,30,attack,Spain,6750000,1,La Liga
Chris Richards,TSG 1899 Hoffenheim,21,Defender,United States,6750000,1,Bundesliga
Marco Friedl,SV Werder Bremen,23,Defender,Austria,6750000,2,Bundesliga
Liam Cooper,Leeds United,30,Defender,Scotland,6300000,3,Premier League
Gabriele Zappa,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",21,Defender,Italy,6300000,4,UNKNOWN
Darío Benedetto,Elche CF,31,attack,Argentina,6300000,1,La Liga
Álvaro González,Olympique Marseille,31,Defender,Spain,6300000,3,Ligue 1
Moses Simon,FC Nantes,26,attack,Nigeria,6300000,3,Ligue 1
Morten Thorsby,UC Sampdoria,25,midfield,Norway,6300000,2,Serie A
Alfred Gomis,Stade Rennais FC,27,Goalkeeper,Senegal,6300000,4,Ligue 1
Ivan Cavaleiro,Fulham FC,27,attack,Angola,6300000,3,Premier League
Matteo Lovato,Atalanta BC,21,Defender,Italy,6300000,4,Serie A
Tyrick Mitchell,Crystal Palace,22,Defender,England,6300000,4,Premier League
Pierre Kalulu,AC Milan,21,Defender,France,6300000,4,Serie A
Otávio,FC Girondins Bordeaux,27,midfield,Brazil,6300000,1,Ligue 1
Morgan Gibbs-White,Sheffield United,21,midfield,England,6300000,1,Premier League
Stephan El Shaarawy,AS Roma,28,attack,Italy,6300000,2,Serie A
Pascal Groß,Brighton &amp; Hove Albion,30,midfield,Germany,6300000,1,Premier League
Wilfried Singo,Torino FC,20,Defender,Cote d'Ivoire,6300000,2,Serie A
Rémi Oudin,FC Girondins Bordeaux,24,attack,France,6300000,3,Ligue 1
Brandon Soppy,Udinese Calcio,19,Defender,France,6300000,5,Serie A
Riccardo Sottil,ACF Fiorentina,22,attack,Italy,6300000,3,Serie A
Eldor Shomurodov,AS Roma,26,attack,Uzbekistan,6300000,5,Serie A
Samuel Kalu,FC Girondins Bordeaux,24,attack,Nigeria,6300000,2,Ligue 1
Morgan Schneiderlin,OGC Nice,31,midfield,France,6300000,fail,Ligue 1
Jayden Bogle,Sheffield United,21,Defender,England,6300000,3,Premier League
Kevin Bonifazi,Bologna FC 1909,25,Defender,Italy,6300000,4,Serie A
Ismail Jakobs,AS Monaco,22,midfield,Germany,6300000,5,Ligue 1
Josh Brownhill,Burnley FC,25,midfield,England,6300000,3,Premier League
Mattia Perin,Juventus FC,28,Goalkeeper,Italy,6300000,1,Serie A
Will Hughes,Crystal Palace,26,midfield,England,6300000,3,Premier League
Aaron Connolly,Brighton &amp; Hove Albion,21,attack,Ireland,6300000,3,Premier League
Matteo Darmian,Inter Milan,31,Defender,Italy,6300000,3,Serie A
Mickael Cuisance,Bayern Munich,22,midfield,France,6300000,3,Bundesliga
Antonee Robinson,Fulham FC,24,Defender,United States,6300000,3,Premier League
Jérôme Roussillon,VfL Wolfsburg,28,Defender,France,6300000,2,Bundesliga
Jon Moncayola,CA Osasuna,23,midfield,Spain,6300000,10,La Liga
Wout Faes,Stade Reims,23,Defender,Belgium,6300000,3,Ligue 1
Pablo Marí,Arsenal FC,28,Defender,Spain,6300000,3,Premier League
Omar Richards,Bayern Munich,23,Defender,England,6300000,4,Bundesliga
Nuno Tavares,Arsenal FC,21,Defender,Portugal,6300000,4,Premier League
Florent Mollet,Montpellier HSC,29,midfield,France,6300000,2,Ligue 1
Joris Chotard,Montpellier HSC,19,midfield,France,6300000,3,Ligue 1
Héctor Herrera,Atlético de Madrid,31,midfield,Mexico,6300000,1,La Liga
Myziane Maolida,Hertha BSC,22,attack,France,6300000,4,Bundesliga
Arthur Masuaku,West Ham United,27,Defender,DR Congo,6300000,3,Premier League
Maximilian Mittelstädt,Hertha BSC,24,Defender,Germany,6300000,2,Bundesliga
Manu Koné,Borussia Mönchengladbach,20,midfield,France,6300000,4,Bundesliga
Franck Honorat,Stade Brestois 29,25,attack,France,6300000,4,Ligue 1
Alex Mowatt,West Bromwich Albion,26,midfield,England,6300000,3,Premier League
Christoph Kramer,Borussia Mönchengladbach,30,midfield,Germany,6300000,2,Bundesliga
Mateu Morey,Borussia Dortmund,21,Defender,Spain,6300000,3,Bundesliga
Andros Townsend,Everton FC,30,attack,England,6300000,2,Premier League
Irvin Cardona,Stade Brestois 29,24,attack,France,6300000,2,Ligue 1
Steve Mounié,Stade Brestois 29,26,attack,Benin,6300000,3,Ligue 1
Robert Andrich,Bayer 04 Leverkusen,26,midfield,Germany,6300000,5,Bundesliga
Marvelous Nakamba,Aston Villa,27,midfield,Zimbabwe,6300000,3,Premier League
Jonny Evans,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",33,Defender,Northern Ireland,6300000,2,UNKNOWN
Jesper Lindström,Eintracht Frankfurt,21,midfield,Denmark,6300000,5,Bundesliga
Ki-Jana Hoever,Wolverhampton Wanderers,19,Defender,Netherlands,6300000,4,Premier League
Jeison Murillo,Celta de Vigo,29,Defender,Colombia,6300000,1,La Liga
Hamza Choudhury,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",23,midfield,England,6300000,2,UNKNOWN
Caleb Ekuban,Genoa CFC,27,attack,Ghana,6300000,3,Serie A
Amos Pieper,Arminia Bielefeld,23,Defender,Germany,6300000,1,Bundesliga
Juan Miranda,Real Betis Balompié,21,Defender,Spain,6300000,3,La Liga
Sergio Rico,Paris Saint-Germain,28,Goalkeeper,Spain,6300000,3,Ligue 1
Jamie Vardy,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",34,attack,England,6300000,2,UNKNOWN
Arne Maier,FC Augsburg,22,midfield,Germany,6300000,1,Bundesliga
Manu Vallejo,Valencia CF,24,attack,Spain,6300000,3,La Liga
Jeffrey Gouweleeuw,FC Augsburg,30,Defender,Netherlands,6300000,3,Bundesliga
Mathieu Cafaro,Stade Reims,24,midfield,France,6300000,1,Ligue 1
Sinaly Diomandé,Olympique Lyon,20,Defender,Cote d'Ivoire,6300000,4,Ligue 1
Davide Faraoni,Hellas Verona,29,midfield,Italy,6300000,3,Serie A
Daniel Wass,Valencia CF,32,midfield,Denmark,6300000,1,La Liga
Enes Ünal,Getafe CF,24,attack,Turkey,6300000,4,La Liga
Maximilian Philipp,VfL Wolfsburg,27,attack,Germany,6300000,4,Bundesliga
Néstor Araújo,Celta de Vigo,30,Defender,Mexico,6300000,2,La Liga
Gautier Larsonneur,Stade Brestois 29,24,Goalkeeper,France,6300000,2,Ligue 1
Aster Vranckx,VfL Wolfsburg,18,midfield,Belgium,6120000,4,Bundesliga
Luis Abram,Granada CF,25,Defender,Peru,6120000,3,La Liga
Matz Sels,RC Strasbourg Alsace,29,Goalkeeper,Belgium,5850000,3,Ligue 1
Patric,SS Lazio,28,Defender,Spain,5850000,1,Serie A
Youssouf Sabaly,Real Betis Balompié,28,Defender,Senegal,5850000,5,La Liga
Santiago Ascacíbar,Hertha BSC,24,midfield,Argentina,5850000,3,Bundesliga
Fodé Ballo-Touré,AC Milan,24,Defender,Senegal,5850000,4,Serie A
Alexander Djiku,RC Strasbourg Alsace,27,Defender,Ghana,5850000,2,Ligue 1
Junior Sambia,Montpellier HSC,24,Defender,France,5850000,1,Ligue 1
Kevin Trapp,Eintracht Frankfurt,31,Goalkeeper,Germany,5850000,3,Bundesliga
Hernani,Genoa CFC,27,midfield,Brazil,5850000,1,Serie A
Andreas Skov Olsen,Bologna FC 1909,21,attack,Denmark,5850000,3,Serie A
Stéphane Bahoken,SCO Angers,29,attack,Cameroon,5850000,1,Ligue 1
Sead Kolasinac,Arsenal FC,28,Defender,Bosnia-Herzegovina,5850000,1,Premier League
Frédéric Guilbert,RC Strasbourg Alsace,26,Defender,France,5400000,1,Ligue 1
Aitor Fernández,Levante UD,30,Goalkeeper,Spain,5400000,2,La Liga
Kasper Schmeichel,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",34,Goalkeeper,Denmark,5400000,2,UNKNOWN
Zack Steffen,Manchester City,26,Goalkeeper,United States,5400000,2,Premier League
Flavius Daniliuc,OGC Nice,20,Defender,Austria,5400000,3,Ligue 1
Javi Galán,Celta de Vigo,26,Defender,Spain,5400000,5,La Liga
Asier Illarramendi,Real Sociedad,31,midfield,Spain,5400000,2,La Liga
Joseph Aidoo,Celta de Vigo,25,Defender,Ghana,5400000,3,La Liga
Konstantinos Mavropanos,VfB Stuttgart,23,Defender,Greece,5400000,1,Bundesliga
Emanuel Vignato,Bologna FC 1909,21,attack,Italy,5400000,3,Serie A
Giuseppe Pezzella,Atalanta BC,23,Defender,Italy,5400000,1,Serie A
Rogério,US Sassuolo,23,Defender,Brazil,5400000,3,Serie A
Cheikhou Kouyaté,Crystal Palace,31,Defender,Senegal,5400000,1,Premier League
Ola Aina,Torino FC,24,Defender,Nigeria,5400000,2,Serie A
Álex Moreno,Real Betis Balompié,28,Defender,Spain,5400000,3,La Liga
José Luis Morales,Levante UD,34,attack,Spain,5400000,2,La Liga
Kevin Lasagna,Hellas Verona,29,attack,Italy,5400000,1,Serie A
Joël Veltman,Brighton &amp; Hove Albion,29,Defender,Netherlands,5400000,2,Premier League
Cédric Soares,Arsenal FC,30,Defender,Portugal,5400000,3,Premier League
Chrislain Matsima,AS Monaco,19,Defender,France,5400000,4,Ligue 1
Munas Dabbur,TSG 1899 Hoffenheim,29,attack,Israel,5400000,3,Bundesliga
Adrien Thomasson,RC Strasbourg Alsace,27,midfield,France,5400000,3,Ligue 1
Márton Dárdai,Hertha BSC,19,Defender,Germany,5400000,4,Bundesliga
Danny Ward,"All information about Leicester (Premier League) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",28,Goalkeeper,Wales,5400000,4,UNKNOWN
Álex Fernández,Cádiz CF,28,midfield,Spain,5400000,1,La Liga
Andrew Gravillon,Stade Reims,23,Defender,Guadeloupe,5400000,1,Ligue 1
Karol Linetty,Torino FC,26,midfield,Poland,5400000,3,Serie A
Bryan Reynolds,AS Roma,20,Defender,United States,5400000,4,Serie A
Mathew Ryan,Real Sociedad,29,Goalkeeper,Australia,5400000,2,La Liga
Sam Lammers,Eintracht Frankfurt,24,attack,Netherlands,5400000,1,Bundesliga
Ander Capa,Athletic Bilbao,29,Defender,Spain,5400000,1,La Liga
Oliver Burke,Sheffield United,24,attack,Scotland,5400000,2,Premier League
Tommaso Pobega,Torino FC,22,midfield,Italy,5400000,1,Serie A
Pietro Pellegri,AC Milan,20,attack,Italy,5400000,1,Serie A
Nemanja Gudelj,Sevilla FC,29,midfield,Serbia,5400000,2,La Liga
Oriol Romeu,Southampton FC,29,midfield,Spain,5400000,2,Premier League
Danny da Costa,Eintracht Frankfurt,28,Defender,Germany,5400000,1,Bundesliga
Junior Dina Ebimbe,Paris Saint-Germain,20,midfield,France,5400000,2,Ligue 1
Kaan Ayhan,US Sassuolo,26,Defender,Turkey,5400000,3,Serie A
Facundo Pellistri,Deportivo Alavés,19,attack,Uruguay,5400000,1,La Liga
Rade Krunic,AC Milan,27,midfield,Bosnia-Herzegovina,5400000,3,Serie A
Cheick Doucouré,RC Lens,21,midfield,Mali,5400000,3,Ligue 1
Aihen Muñoz,Real Sociedad,24,Defender,Spain,5400000,1,La Liga
Semi Ajayi,West Bromwich Albion,27,Defender,Nigeria,5400000,2,Premier League
Gianluca Caprari,Hellas Verona,28,attack,Italy,5400000,1,Serie A
Ghislain Konan,Stade Reims,25,Defender,Cote d'Ivoire,5400000,1,Ligue 1
Thierry Correia,Valencia CF,22,Defender,Portugal,5400000,3,La Liga
Eliot Matazo,AS Monaco,19,midfield,Belgium,5400000,3,Ligue 1
Charles Aránguiz,Bayer 04 Leverkusen,32,midfield,Chile,5400000,2,Bundesliga
Josip Ilicic,Atalanta BC,33,attack,Slovenia,5400000,1,Serie A
Armand Laurienté,FC Lorient,22,attack,France,5400000,3,Ligue 1
Omar Colley,UC Sampdoria,28,Defender,The Gambia,5400000,4,Serie A
Ben Mee,Burnley FC,31,Defender,England,5400000,1,Premier League
Lukas Hradecky,Bayer 04 Leverkusen,31,Goalkeeper,Finland,5400000,2,Bundesliga
Mounir Chouiar,Dijon FCO,22,attack,France,5400000,1,Ligue 1
Sergio Herrera,CA Osasuna,28,Goalkeeper,Spain,5400000,2,La Liga
Johan Vásquez,Genoa CFC,22,Defender,Mexico,5400000,1,Serie A
Lucas Olaza,Real Valladolid CF,27,Defender,Uruguay,5400000,4,La Liga
Bartosz Bereszynski,UC Sampdoria,29,Defender,Poland,5400000,2,Serie A
Jordan Lotomba,OGC Nice,22,Defender,Switzerland,5400000,4,Ligue 1
Neto,FC Barcelona,32,Goalkeeper,Brazil,5400000,2,La Liga
Dylan Bronn,FC Metz,26,Defender,Tunisia,5400000,3,Ligue 1
Dominik Kohr,1.FSV Mainz 05,27,midfield,Germany,5400000,1,Bundesliga
Ionut Radu,Inter Milan,24,Goalkeeper,Romania,5400000,3,Serie A
Boubakar Kouyate,FC Metz,24,Defender,Mali,5400000,3,Ligue 1
Jorge Cuenca,Getafe CF,21,Defender,Spain,5400000,1,La Liga
Steven Alzate,Brighton &amp; Hove Albion,22,midfield,Colombia,5400000,3,Premier League
Callum Robinson,West Bromwich Albion,26,attack,Ireland,5400000,4,Premier League
Santiago Arias,Granada CF,29,Defender,Colombia,5400000,1,La Liga
Tyler Roberts,Leeds United,22,attack,Wales,5400000,3,Premier League
Willem Geubbels,FC Nantes,20,attack,France,5400000,1,Ligue 1
Josh Onomah,Fulham FC,24,midfield,England,5400000,2,Premier League
Pedro Mendes,Montpellier HSC,30,Defender,Portugal,5400000,2,Ligue 1
Mamadou Sakho,Montpellier HSC,31,Defender,France,5400000,3,Ligue 1
Pablo Rosario,OGC Nice,24,midfield,Netherlands,5400000,5,Ligue 1
Shon Weissman,Real Valladolid CF,25,attack,Israel,5400000,3,La Liga
Alexander Nübel,AS Monaco,24,Goalkeeper,Germany,5400000,2,Ligue 1
Nico Schulz,Borussia Dortmund,28,Defender,Germany,5400000,3,Bundesliga
Wylan Cyprien,FC Nantes,26,midfield,France,5400000,1,Ligue 1
Angel Gomes,LOSC Lille,21,midfield,England,5400000,4,Ligue 1
Edinson Cavani,Manchester United,34,attack,Uruguay,5400000,1,Premier League
Yann Karamoh,Parma Calcio 1913,23,attack,Cote d'Ivoire,5400000,2,Serie A
Roberto Inglese,Parma Calcio 1913,29,attack,Italy,5400000,3,Serie A
Yann Sommer,Borussia Mönchengladbach,32,Goalkeeper,Switzerland,5400000,2,Bundesliga
Thomas Foket,Stade Reims,26,Defender,Belgium,5400000,2,Ligue 1
Amine Adli,Bayer 04 Leverkusen,21,attack,France,5400000,5,Bundesliga
Stefan Ortega,Arminia Bielefeld,28,Goalkeeper,Germany,5400000,1,Bundesliga
Domagoj Bradaric,LOSC Lille,21,Defender,Croatia,5400000,3,Ligue 1
Adrien Tamèze,Hellas Verona,27,midfield,Cameroon,5400000,3,Serie A
Jonjoe Kenny,Everton FC,24,Defender,England,5220000,1,Premier League
Ibrahima Sissoko,RC Strasbourg Alsace,23,midfield,Mali,4950000,3,Ligue 1
Noah Katterbach,1. FC Köln,20,Defender,Germany,4950000,3,Bundesliga
Jiri Pavlenka,SV Werder Bremen,29,Goalkeeper,Czech Republic,4950000,1,Bundesliga
Habib Maïga,FC Metz,25,midfield,Cote d'Ivoire,4950000,3,Ligue 1
Ernesto Torregrossa,UC Sampdoria,29,attack,Italy,4950000,4,Serie A
Marcelo Saracchi,RB Leipzig,23,Defender,Uruguay,4950000,2,Bundesliga
Jean-Ricner Bellegarde,RC Strasbourg Alsace,23,midfield,France,4950000,2,Ligue 1
Almamy Touré,Eintracht Frankfurt,25,Defender,France,4950000,2,Bundesliga
Farid Boulaya,FC Metz,28,midfield,Algeria,4950000,1,Ligue 1
Mohamed Fares,Genoa CFC,25,midfield,Algeria,4950000,1,Serie A
Jacob Bruun Larsen,TSG 1899 Hoffenheim,22,attack,Denmark,4950000,3,Bundesliga
Martin Hongla,Hellas Verona,23,midfield,Cameroon,4500000,1,Serie A
Josh Maja,FC Girondins Bordeaux,22,attack,Nigeria,4500000,2,Ligue 1
Taiwo Awoniyi,1.FC Union Berlin,24,attack,Nigeria,4500000,fail,Bundesliga
Ui-jo Hwang,FC Girondins Bordeaux,29,attack,"Korea, South",4500000,2,Ligue 1
Hicham Boudaoui,OGC Nice,21,midfield,Algeria,4500000,2,Ligue 1
Koray Günter,Hellas Verona,27,Defender,Germany,4500000,2,Serie A
Jonas Hector,1. FC Köln,31,Defender,Germany,4500000,2,Bundesliga
Max Kruse,1.FC Union Berlin,33,attack,Germany,4500000,1,Bundesliga
Rani Khedira,1.FC Union Berlin,27,midfield,Germany,4500000,fail,Bundesliga
Igor,ACF Fiorentina,23,Defender,Brazil,4500000,3,Serie A
Matija Nastasic,ACF Fiorentina,28,Defender,Serbia,4500000,2,Serie A
Andrea Carboni,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",20,Defender,Italy,4500000,4,UNKNOWN
Mateo Klimowicz,VfB Stuttgart,21,midfield,Germany,4500000,3,Bundesliga
Tanguy Coulibaly,VfB Stuttgart,20,attack,France,4500000,2,Bundesliga
Ronaldo Vieira,UC Sampdoria,23,midfield,England,4500000,2,Serie A
Marco Benassi,ACF Fiorentina,26,midfield,Italy,4500000,3,Serie A
Manolo Gabbiadini,UC Sampdoria,29,attack,Italy,4500000,5,Serie A
Fransérgio,FC Girondins Bordeaux,30,midfield,Brazil,4500000,3,Ligue 1
Francesco Caputo,UC Sampdoria,34,attack,Italy,4500000,1,Serie A
Arbër Zeneli,Stade Reims,26,attack,Kosovo,4500000,2,Ligue 1
Edimilson Fernandes,Arminia Bielefeld,25,midfield,Switzerland,4500000,1,Bundesliga
Enzo Le Fée,FC Lorient,21,midfield,France,4500000,3,Ligue 1
Janik Haberer,SC Freiburg,27,midfield,Germany,4500000,1,Bundesliga
Iago,FC Augsburg,24,Defender,Brazil,4500000,3,Bundesliga
Giangiacomo Magnani,Hellas Verona,25,Defender,Italy,4500000,fail,Serie A
Anthony Caci,RC Strasbourg Alsace,24,Defender,France,4500000,1,Ligue 1
Dominique Heintz,SC Freiburg,28,Defender,Germany,4500000,1,Bundesliga
Carlos Gruezo,FC Augsburg,26,midfield,Ecuador,4500000,3,Bundesliga
Harold Moukoudi,AS Saint-Étienne,23,Defender,Cameroon,4500000,2,Ligue 1
Cesc Fàbregas,AS Monaco,34,midfield,Spain,4500000,1,Ligue 1
Jean-Paul Boëtius,1.FSV Mainz 05,27,midfield,Netherlands,4500000,1,Bundesliga
Kevin Strootman,"All information about Cagliari Calcio (Serie A) ➤ current squad with market values ➤ transfers ➤ rumours ➤ player stats ➤ fixtures ➤ news"" name=""description""/>",31,midfield,Netherlands,4500000,1,UNKNOWN
Oliver Baumann,TSG 1899 Hoffenheim,31,Goalkeeper,Germany,4500000,2,Bundesliga
Stevan Jovetic,Hertha BSC,31,attack,Montenegro,4500000,2,Bundesliga
Jean Marcelin,AS Monaco,21,Defender,France,4500000,3,Ligue 1
Marco Richter,Hertha BSC,23,attack,Germany,4500000,4,Bundesliga
Ignacio Pussetto,Udinese Calcio,25,attack,Argentina,4500000,1,Serie A
Alexander Schwolow,Hertha BSC,29,Goalkeeper,Germany,4500000,4,Bundesliga
Lars Stindl,Borussia Mönchengladbach,33,attack,Germany,4500000,2,Bundesliga
Pedro Obiang,US Sassuolo,29,midfield,Equatorial Guinea,4500000,2,Serie A
Luca Netz,Borussia Mönchengladbach,18,Defender,Germany,4500000,5,Bundesliga
Arnaud Nordin,AS Saint-Étienne,23,attack,France,4500000,1,Ligue 1
Kevin Danso,RC Lens,22,Defender,Austria,4500000,5,Ligue 1
Tiago Djaló,LOSC Lille,21,Defender,Portugal,4500000,3,Ligue 1
Sofiane Boufal,SCO Angers,27,midfield,Morocco,4500000,3,Ligue 1
Zaydou Youssouf,AS Saint-Étienne,22,midfield,France,4500000,2,Ligue 1
Andrey Lunev,Bayer 04 Leverkusen,29,Goalkeeper,Russia,4500000,2,Bundesliga
Samir Santos,Udinese Calcio,26,Defender,Brazil,4500000,2,Serie A
Bram Nuytinck,Udinese Calcio,31,Defender,Netherlands,4500000,2,Serie A
Rodrigo Becão,Udinese Calcio,25,Defender,Brazil,4500000,3,Serie A
Mahdi Camara,AS Saint-Étienne,23,midfield,France,4500000,3,Ligue 1
